#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
79629	G5424	BEROLLE	Berolle	46.56536	6.326259		1149		212	95.9	VD	Gemeinde	6	78670	
31266	G1081	BEROMUENSTER	Beromünster	47.214729	8.204027		6215		2591	61.1		Markt	6	78557	
31402		BERSCHIS	Berschis	47.097961	9.3527753797		8892						7	79291	
78751	G0212	BERTSCHIKON	Bertschikon bei Attikon	47.528111	8.824267		8544		985	97.1	ZH	Gemeinde	6	78525	
31692		BERZONA	Berzona	46.217786	8.846024735		6661						7	79564	
79602	G5243	BESAZIO	Besazio	45.871315	8.952141		6863		501	8.8	TI	Gemeinde	6	78646	
79472	G4226	BESENBUEREN	Besenbüren	47.308417	8.342063		5627		496	23.8	AG	Gemeinde	6	78629	
31003	G1601	BETSCHWANDEN	Betschwanden	46.930145	9.049781		8777		172	97.5		Ort	6	153485	
32050	G6171	BETTEN	Betten	46.417296	8.058342		3991		449	263.5		Gemeinde	6	78682	
78958	G0973	BETTENHAUSEN	Bettenhausen	47.171724	7.712144		3366		475	19.8	BE	Gemeinde	6	78553	
79644	G5471	BETTENS	Bettens	46.624229	6.572438		1042		330	37.4	VD	Gemeinde	6	78666	
30879	G2702	BETTINGEN	Bettingen	47.570733	7.670175		4126		1151	22.3		Gemeinde	6	78587	
31507	G2543	BETTLACH	Bettlach	47.208497	7.418875		2544		4721	122.1		Gemeinde	6	78583	
79522	G4716	BETTWIESEN	Bettwiesen	47.493589	9.019003		9553		1016	38.5	TG	Gemeinde	6	78638	
79473	G4227	BETTWIL	Bettwil	47.287144	8.267754		5618		576	42.7	AG	Gemeinde	6	78629	
79982	G6773	BEURNEVESIN	Beurnevésin	47.489202	7.129588		2935		157	50.8	JU	Gemeinde	6	78696	
32051		BEUSON	Beuson (Nendaz)	46.152039	7.2831299754		1996						7	79867	
31340	G6402	BEVAIX	Bevaix	46.931827	6.807463		2022		3603	107.8		Gemeinde	6	78687	
79354	G3781	BEVER	Bever	46.540721	9.801768		7502		631	457.5	GR	Gemeinde	6	78617	
30600	G0682	BEVILARD	Bévilard	47.232017	7.285008		2735		1666	56.8		Gemeinde	6	78541	
31887	G5402	BEX	Bex	46.255493	7.125656		1880		5973	966		Gemeinde	6	78664	
31693	G5281	BIASCA	Biasca	46.365393	9.045537		6710		5795	591.3		Markt	6	78647	
31508	G2513	BIBERIST	Biberist	47.185157	7.547058		4562		7603	122.9		Gemeinde	6	78582	
79148	G2444	BIBERN	Bibern (SO)	47.146907	7.452348		4578		222	29.8	SO	Gemeinde	6	78579	
79256	G2913	BIBERN	Bibern (SH)	47.76454	8.668119		8242		263	18	SH	ehem. Gemeinde	7	31501	
79387	G4002	BIBERSTEIN	Biberstein	47.417602	8.082315		5023		1101	40.9	AG	Gemeinde	6	78622	
31607		BICHELSEE	Bichelsee	47.448314	8.9006086484		8363						7	79523	
79523	G4721	BICHELSEE-BALTERSWIL	Bichelsee-Balterswil	47.449483	8.929924		8362		2277	122.6	TG	Gemeinde	6	78638	
31694	G5150	BIDOGNO	Bidogno	46.085441	9.003723		6958		296	34.9		ehem. Gemeinde	7	79593	
79617	G5392	BIDOGNO-CAPRIASCA-CORTICIASCA	Bidogno-Capriasca-Corticiasca	46.105833	9.025795					3.4		Comunanza	6	153	1
78531	B0204	BIEL	Amtsbezirk Biel	47.15	7.2400007486				51031	249	BE	Amtsbezirk	4	136	
79213	G2764	BIEL-BENKEN	Biel-Benken	47.506771	7.520962		4105		2679	41.2	BL	Gemeinde	6	78588	
80017	G9148	BIELERSEE	Bielersee;Lac de Bienne									See	6	107	
80018	G9149	BIELERSEE	Bielersee (BE);Lac de Bienne (BE)	47.073441	7.152127					388.9		See	6	107	
78788	G0371	BIEL	Biel;Bienne	47.1492305	7.2611065		2505,2504,2503,2502,2501,2500		48655	212.3	BE	Stadt	6	78531	
31888	G5425	BIERE	Bière	46.548026	6.319117		1145		1353	250		Gemeinde	6	78670	
79149	G2445	BIEZWIL	Biezwil	47.110723	7.418802		4585		289	41.8	SO	Gemeinde	6	78579	
30601		BIGENTHAL	Bigenthal	46.947587	7.6132969768		3513						7	30810	
30602	G0603	BIGLEN	Biglen	46.93136	7.621186		3507		1790	35.9		Gemeinde	6	78539	
31695		BIGNASCO	Bignasco	46.413566	8.501099		6676		306	815.1		ehem. Gemeinde	7	31726	
31696		BIGORIO	Bigorio	46.066191	8.9449155825		6954						7	79593	
79053	G2063	BILLENS-HENNENS	Billens-Hennens	46.685092	6.8875		1681		621	48.8	FR	Gemeinde	6	78571	
31004	G1602	BILTEN	Bilten	47.148519	9.013634		8865		1882	158.1		Ort	6	153483	
32052	G6054	BINN	Binn	46.366918	8.217672		3996		155	650.3		Gemeinde	6	78677	
30837	G2765	BINNINGEN	Binningen	47.53656	7.570077		4102		13977	44.3		Stadt	6	78588	
31697	G5151	BIOGGIO	Bioggio	46.016263	8.906041		6934		2061	54.4		Gemeinde	6	78645	
79834	G5903	BIOLEY-MAGNOUX	Bioley-Magnoux	46.723105	6.71418		1407		169	42.7	VD	Gemeinde	6	78667	
31889	G5513	BIOLEY-ORJULAZ	Bioley-Orjulaz	46.619139	6.6078		1042		288	31.2		Gemeinde	6	78666	
79863	G6001	BIRGISCH	Birgisch	46.329408	7.958741		3903		217	57.5	VS	Gemeinde	6	78674	
78761	G0242	BIRMENSDORF	Birmensdorf (ZH)	47.353676	8.435449		8903		5451	114.1	ZH	Gemeinde	6	78526	
79394	G4024	BIRMENSTORF	Birmenstorf (AG)	47.456019	8.2404		5413		2313	77.8	AG	Gemeinde	6	78623	
31698	G5153	BIRONICO	Bironico	46.122684	8.933276		6804		512	41.8		Gemeinde	6	78645	
30452	G4092	BIRR	Birr	47.433034	8.211387		5242		3529	50.2		Gemeinde	6	78625	
79420	G4093	BIRRHARD	Birrhard	47.433918	8.241428		5244		681	30	AG	Gemeinde	6	78625	
30453	G4132	BIRRWIL	Birrwil	47.290524	8.196255		5708		960	34.2		Gemeinde	6	78626	
30838	G2766	BIRSFELDEN	Birsfelden	47.552668	7.638863		4127		10429	25.2		Stadt	6	78588	
79535	G4901	BIRWINKEN	Birwinken	47.575993	9.20819		8585		1216	123.6	TG	Gemeinde	6	78640	
78634	B2002	BISCHOFSZELL	Bezirk Bischofszell						30772	956.5	TG	Bezirk	4	152	
79508	G4471	BISCHOFSZELL	Bischofszell	47.495028	9.20799		9220		5421	116.2	TG	Stadt	6	78634	
31608		BISSEGG	Bissegg	47.564621	9.0472933336		8514						7	79533	
31699	G5154	BISSONE	Bissone	45.95145	8.967286		6816		711	18.1		Gemeinde	6	78645	
79885	G6172	BISTER	Bister	46.348923	8.078291		3983		33	58.4	VS	Gemeinde	6	78682	
32053	G6173	BITSCH	Bitsch	46.343986	7.997293		3982		747	40.2		Gemeinde	6	78682	
31037	G3531	BIVIO	Bivio	46.459219	9.659109		7457		204	767.3		Gemeinde	6	78611	
30603		BLANKENBURG	Blankenburg	46.51939	7.3883157879		3771						7	30832	
79889	G6192	BLATTEN	Blatten	46.440382	7.855985		3919		281	906.5	VS	Gemeinde	6	78682	
30839	G2781	BLAUEN	Blauen	47.449864	7.522261		4223		660	71.3		Gemeinde	6	78589	
78772	G0324	BLEIENBACH	Bleienbach	47.179135	7.753778		3368		722	56.9	BE	Gemeinde	6	78529	
78862	G0604	BLEIKEN	Bleiken bei Oberdiessbach	46.815761	7.638606		3674		378	34.2	BE	Gemeinde	6	78539	
78642	B2102	BLENIO	Distretto di Blenio						5287	3605.7	TI	Distretto	4	153	
79544	G5049	BLENIO	Blenio	46.503674	8.9357418379							Gemeinde	6	78642	
32054	G6055	BLITZINGEN	Blitzingen	46.444529	8.194699		3989		99	118.1		Gemeinde	6	78677	
31890	G5881	BLONAY	Blonay	46.472718	6.931699		1807		4695	160.4		Gemeinde	6	78673	
30604	G0922	BLUMENSTEIN	Blumenstein	46.731016	7.505692		3638		1192	155.2		Gemeinde	6	78551	
80050	G9326	BODENSEE	Bodensee									See	6	107	
80051	G9327	BODENSEE	Bodensee (SH)	47.655411	8.840555					2.7		See	6	107	
80052	G9328	BODENSEE	Bodensee (SG)	47.507562	9.488768					443.5		See	6	107	
80053	G9329	BODENSEE	Bodensee (TG)	47.599765	9.328486					1280.9		See	6	107	
79545	G5064	BODIO	Bodio	46.382783	8.910059		6743		1058	64.4	TI	Gemeinde	6	78643	
79492	G4302	BOEBIKON	Böbikon	47.549194	8.332774		5334		183	26.2	AG	Gemeinde	6	78632	
79229	G2842	BOECKTEN	Böckten	47.466136	7.83246		4461		669	22.9	BL	Gemeinde	6	78591	
79959	G6702	BOECOURT	Boécourt	47.35961	7.218643		2856		814	123.4	JU	Gemeinde	6	78694	
78850	G0572	BOENIGEN	Bönigen	46.679973	7.920147		3806		2182	151.2	BE	Gemeinde	6	78538	
30888	G2295	BOESINGEN	Bösingen	46.885695	7.233905		3178		3117	143.4		Gemeinde	6	78575	
30456	G4303	BOETTSTEIN	Böttstein	47.555672	8.225764		5315		3648	74.1		Gemeinde	6	78632	
30457	G4094	BOEZEN	Bözen	47.493789	8.085653		5076		657	39.6		Gemeinde	6	78625	
79782	G5747	BOFFLENS	Bofflens	46.701731	6.49527		1353		157	41.9	VD	Gemeinde	6	78667	
31891	G5705	BOGIS-BOSSEY	Bogis-Bossey	46.351621	6.171355		1279		847	24.4		Gemeinde	6	78671	
31700	G5155	BOGNO	Bogno	46.091215	9.072088		6951		93	42.1		Gemeinde	6	78645	
79914	G6403	BOLE	Bôle	46.968296	6.836782		2014		1778	25.8	NE	Gemeinde	6	78687	
79176	G2514	BOLKEN	Bolken	47.191837	7.661871		4556		489	21.2	SO	Gemeinde	6	78582	
30605		BOLL	Boll	46.945895	7.5520489843		3067						7	78785	
30606	G0352	BOLLIGEN	Bolligen	46.979389	7.52676		3065		5893	165.6		Gemeinde	6	78530	
78466		BOLLION	Bollion	46.816678	6.8261808055						FR	ehem. Gemeinde	7	79034	
78959	G0974	BOLLODINGEN	Bollodingen	47.1656	7.705148		3366		212	19.7	BE	Gemeinde	6	78553	
30607	G0791	BOLTIGEN	Boltigen	46.610406	7.358477		3766		1436	770.2		Gemeinde	6	78546	
31038	G3721	BONADUZ	Bonaduz	46.810311	9.375192		7402		2433	143.9		Gemeinde	6	78614	
31216	G6774	BONCOURT	Boncourt	47.49323	7.007647		2926		1358	89.8		Gemeinde	6	78696	
79353	G3771	BONDO	Bondo	46.315632	9.576655		7606		181	282.8	GR	Gemeinde	6	78617	
31217	G6775	BONFOL	Bonfol	47.476953	7.155436		2944		679	135.9		Gemeinde	6	78696	
79198	G2571	BONINGEN	Boningen	47.303679	7.853101		4618		636	27.8	SO	Gemeinde	6	78584	
30454	G4192	BONISWIL	Boniswil	47.312533	8.189618		5706		1316	24.1		Gemeinde	6	78628	
78467		BONNEVILLE	Bonneville (NE)	47.030502	6.92982							ehem. Stadt	7	79934	
32210	G0003	BONSTETTEN	Bonstetten	47.316634	8.466822		8906		3893	74.1		Gemeinde	6	78516	
31892	G5551	BONVILLARS	Bonvillars	46.848709	6.669699		1427		344	75.4		Gemeinde	6	78667	
78721	G0082	BOPPELSEN	Boppelsen	47.462198	8.399753		8113		1018	39.7	ZH	Gemeinde	6	78519	
31893	G5706	BOREX	Borex	46.381301	6.179007		1277		865	20.1		Gemeinde	6	78671	
31701	G5094	BORGNONE	Borgnone	46.167043	8.60851		6658		143	106		ehem. Gemeinde	7	152172	
31039		BORGONOVO	Borgonovo	46.351341	9.5985005931		7604						7	31176	
79612	G5304	BOSCO/GURIN	Bosco/Gurin	46.31717	8.481056		6685		71	220.4	TI	Gemeinde	6	78648	
79132	G2323	BOSSONNENS	Bossonnens	46.52558	6.844711		1615		1041	41	FR	Gemeinde	6	78576	
79474	G4228	BOSWIL	Boswil	47.292722	8.308579		5623		2308	117.7	AG	Gemeinde	6	78629	
31894	G5514	BOTTENS	Bottens	46.616634	6.660074		1041		917	67.9		Gemeinde	6	78666	
30455	G4273	BOTTENWIL	Bottenwil	47.284175	8.002902		4814		799	51.1		Gemeinde	6	78631	
79071	G2123	BOTTERENS	Botterens	46.624826	7.114274		1652		384	41.5	FR	Gemeinde	6	78572	
31609	G4643	BOTTIGHOFEN	Bottighofen	47.633919	9.211208		8598		1684	24		Gemeinde	6	78637	
30840	G2767	BOTTMINGEN	Bottmingen	47.521554	7.582617		4103		5508	29.9		Gemeinde	6	78588	
31341	G6471	BOUDEVILLIERS	Boudevilliers	47.031	6.881124		2043		718	125.7		Gemeinde	6	78691	
78687	B2401	BOUDRY	District de Boudry						36721	1056.1	NE	District	4	145	
31342	G6404	BOUDRY	Boudry	46.95237	6.808502		2017		5311	167.7		Stadt	6	78687	
79630	G5426	BOUGY-VILLARS	Bougy-Villars	46.483594	6.348935		1172		370	17.7	VD	Gemeinde	6	78670	
79738	G5661	BOULENS	Boulens	46.678912	6.713217		1063		211	34.5	VD	Gemeinde	6	78666	
79869	G6032	BOURG-SAINT-PIERRE	Bourg-Saint-Pierre	45.923083	7.210719		1946		212	900.9	VS	Stadt	6	78676	
78468		BOURJOD	Bourjod									ehem. Stadt	7	31994	
79645	G5472	BOURNENS	Bournens	46.608669	6.563911		1035		251	38.9	VD	Gemeinde	6	78666	
79960	G6703	BOURRIGNON	Bourrignon	47.392968	7.250756		2803		286	135.8	JU	Gemeinde	6	78694	
79646	G5473	BOUSSENS	Boussens	46.598316	6.581737		1034		743	31.5	VD	Gemeinde	6	78666	
32055		BOUVERET	Bouveret	46.381952	6.8488824327		1897						7	32142	
79940	G6502	BOVERESSE	Boveresse	46.928314	6.588505		2113		363	129	NE	ehem. Gemeinde	7	152167	
32056	G6131	BOVERNIER	Bovernier	46.06419	7.082431		1932		733	128.6		Gemeinde	6	78680	
30608	G0605	BOWIL	Bowil	46.890039	7.6928		3533		1339	146.9		Gemeinde	6	78539	
79360	G3803	BRAGGIO	Braggio	46.296808	9.131869		6544		62	69.1	GR	Gemeinde	6	78618	
31040		BRAIL	Brail	46.642895	10.0316136843		7527						7	31208	
32057		BRAMOIS	Bramois	46.233583	7.3988386766		1967						7	32159	
32058	G6103	BRATSCH	Bratsch	46.325996	7.704686		3957		464	61.7		ehem. Gemeinde	7	152162	
79524	G4723	BRAUNAU	Braunau	47.502282	9.068442		9502		661	91.8	TG	Gemeinde	6	78638	
31005	G1603	BRAUNWALD	Braunwald	46.943066	8.98869		8784		408	101.9		Ort	6	153485	
31702		BRE SOPRA LUGANO	Brè sopra Lugano	46.018902	9.0007102908		6979					Quartier	7	31775	
79381	G3981	BREIL/BRIGELS	Breil/Brigels	46.784258	9.035315		7165		1187	508.8	GR	Gemeinde	6	78621	
31509	G2613	BREITENBACH	Breitenbach	47.405102	7.551125		4226		3260	68		Gemeinde	6	78586	
79708	G5622	BREMBLENS	Bremblens	46.543998	6.518788		1121		360	29.1	VD	Gemeinde	6	78670	
78783	G0353	BREMGARTEN	Bremgarten bei Bern	46.974376	7.434629		3047		3802	19.1	BE	Gemeinde	6	78530	
78624	B1903	BREMGARTEN	Bezirk Bremgarten						61661	1174.7	AG	Bezirk	4	133	
79406	G4063	BREMGARTEN	Bremgarten (AG)	47.357624	8.329926		5620		5338	80.4	AG	Stadt	6	78624	
31895	G5662	BRENLES	Brenles	46.668609	6.858015		1683		163	38.5		Gemeinde	6	78665	
31703		BRENO	Breno	46.034023	8.8899461708		6937					ehem. Gemeinde	7	79601	
30609	G0606	BRENZIKOFEN	Brenzikofen	46.815044	7.616377		3671		485	22		Gemeinde	6	78539	
79983	G6776	BRESSAUCOURT	Bressaucourt	47.383185	7.039055		2904		372	95	JU	Gemeinde	6	78696	
79667	G5515	BRETIGNY-SUR-MORRENS	Bretigny-sur-Morrens	46.596563	6.640643		1053		563	28.8	VD	Gemeinde	6	78666	
79783	G5748	BRETONNIERES	Bretonnières	46.715272	6.470298		1329		200	54.6	VD	Gemeinde	6	78667	
30841	G2883	BRETZWIL	Bretzwil	47.397758	7.652126		4207		712	73.3		Gemeinde	6	78592	
78851	G0573	BRIENZ	Brienz (BE)	46.735063	7.988153		3855		2956	479.9	BE	Gemeinde	6	78538	
79309	G3512	BRIENZ/BRINZAULS	Brienz/Brinzauls	46.680133	9.600881		7084		117	133.7	GR	Gemeinde	6	78611	
80016	G9089	BRIENZERSEE	Brienzersee	46.722591	7.970311					297.2		See	6	107	
30610	G0574	BRIENZWILER	Brienzwiler	46.730571	8.098808		3856		580	176.6		Gemeinde	6	78538	
78674	B2301	BRIG	Bezirk Brig						23052	4342.6	VS	Bezirk	4	156	
32059		BRIG	Brig	46.315838	7.982985985		3900		5000			Markt	7	79864	
79864	G6002	BRIG-GLIS	Brig-Glis	46.289476	7.97894		3900		11590	380.8	VS	Stadt	6	78674	
32060		BRIGERBAD	Brigerbad	46.300133	7.9374688873		3900						7	79864	
79551	G5095	BRIONE	Brione (Verzasca)	46.30073	8.724063		6634		203	485.6	TI	Gemeinde	6	78644	
79552	G5096	BRIONE SOPRA MINUSIO	Brione sopra Minusio	46.192943	8.811396		6645		484	38.4	TI	Gemeinde	6	78644	
30842	G2782	BRISLACH	Brislach	47.418974	7.545888		4225		1392	93.9		Gemeinde	6	78589	
31704	G5097	BRISSAGO	Brissago	46.126176	8.693352		6614		1833	177.9		Gemeinde	6	78644	
31855		BRISTEN	Bristen	46.766387	8.6793730816		6475						7	31866	
30458	G4274	BRITTNAU	Brittnau	47.253442	7.936825		4805		3400	136.9		Gemeinde	6	78631	
30889	G2124	BROC	Broc	46.600637	7.117416		1636		2068	100.4		Gemeinde	6	78572	
31705		BROGLIO	Broglio	46.387799	8.6669408883		6693						7	79615	
31403	G3421	BRONSCHHOFEN	Bronschhofen	47.47566	9.03696		9552		4297	131.9		Gemeinde	6	78610	
31706		BRONTALLO	Brontallo	46.348263	8.6353922913		6692						7	79615	
31343	G6405	BROT-DESSOUS	Brot-Dessous	46.960221	6.757977		2149		95	49.5		Gemeinde	6	78687	
31344	G6433	BROT-PLAMBOZ	Brot-Plamboz	46.984783	6.750701		2318		255	160.3		Gemeinde	6	78689	
78570	B1001	BROYE	District de la Broye	46.834897	6.8988829661				21309	1737.2	FR	District	4	139	
78665	B2222	BROYE-VULLY	District de la Broye-Vully	46.7253	6.910528933							District	4	155	
78897	G0733	BRUEGG	Brügg	47.126608	7.277114		2555		4011	49.9	BE	Gemeinde	6	78543	
79150	G2446	BRUEGGLEN	Brügglen	47.135794	7.494592		4582		187	17.3	SO	Gemeinde	6	78579	
79125	G2292	BRUENISRIED	Brünisried	46.757378	7.275161		1719		561	32.5	FR	Gemeinde	6	78575	
30611	G0491	BRUETTELEN	Brüttelen	47.023031	7.151076		3237		643	66.2		Gemeinde	6	78535	
32211	G0213	BRUETTEN	Brütten	47.474671	8.671628		8311		1774	66		Gemeinde	6	78525	
32212		BRUETTISELLEN	Brüttisellen	47.440414	8.6357374511		8306						7	78749	
